qua mai  1 16:21:22 -03 2019
Experiment;Threads;Add;Remove;Contains;Population
CoarseList;15;28024;23590;19985;5807
CoarseList;15;25345;15667;20736;6672
CoarseList;15;22784;13249;14656;6048
CoarseList;15;26459;23858;23113;5905
CoarseList;15;25608;20388;22705;6271
CoarseList;15;22443;20031;26870;5514
CoarseList;15;22291;15253;21830;5792
CoarseList;15;27289;23606;18784;5615
CoarseList;15;25513;16516;18472;6026
CoarseList;15;26469;22152;20937;6019
CoarseList;15;26699;22173;27351;6653
CoarseList;15;27137;16034;18497;7075
CoarseList;15;20858;16406;24126;5825
CoarseList;15;32603;30694;32792;3718
CoarseList;15;27134;29737;38997;4311
CoarseList;15;25671;27736;36095;4943
CoarseList;15;29531;26218;27830;6251
CoarseList;15;26494;19009;16071;5656
CoarseList;15;31140;10648;20863;7770
CoarseList;15;20103;19068;18099;5573
CoarseList;15;24712;18121;18455;4437
CoarseList;15;23907;21453;27189;4750
CoarseList;15;34074;22147;29553;7922
CoarseList;15;26307;21754;16435;4758
CoarseList;15;31304;22458;24661;6889
CoarseList;15;25430;30065;27281;5084
CoarseList;15;28811;29634;28654;5542
CoarseList;15;24761;16720;30145;6722
CoarseList;15;25716;21492;21754;5671
CoarseList;15;27211;14804;18790;6892
CoarseList;15;23445;20204;16062;4701
CoarseList;15;27048;21564;24306;5871
CoarseList;15;23095;20744;26342;5437
CoarseList;15;24780;22219;20928;4386
CoarseList;15;26705;20241;28542;6149
CoarseList;15;29716;18916;13156;6642
CoarseList;15;23328;24995;20286;4553
CoarseList;15;30425;21993;21699;6188
CoarseList;15;25155;17689;17728;5661
CoarseList;15;27010;29779;23666;5159
CoarseList;15;25466;18429;22036;5768
CoarseList;15;24338;22350;20985;4935
CoarseList;15;28082;19159;16144;5690
CoarseList;15;22452;13053;16614;5536
CoarseList;15;25616;29670;25551;4253
CoarseList;15;30567;25476;20285;5463
CoarseList;15;25838;25613;22236;5150
CoarseList;15;24866;17762;20109;5750
CoarseList;15;24388;19287;19351;5093
CoarseList;15;26639;20175;22611;6048
CoarseList;15;21877;17741;20166;4741
CoarseList;15;29209;21961;17878;6237
CoarseList (Mean);15;25815;20832;22125;5574
Experiment;Threads;Add;Remove;Contains;Population
CoarseList;18;0;0;0;0
CoarseList;18;34074;27777;28985;6128
CoarseList;18;27275;20065;16080;6449
CoarseList;18;27140;23655;19271;6165
CoarseList;18;26894;17584;19814;6574
CoarseList;18;22958;16107;19520;5714
CoarseList;18;25283;13095;22348;7152
CoarseList;18;20841;17192;19182;4858
CoarseList;18;29113;21277;23420;6715
CoarseList;18;22735;17079;16389;5122
CoarseList;18;25432;16593;19052;5771
CoarseList;18;25404;21697;23808;5771
CoarseList;18;24641;17207;20523;5725
CoarseList;18;30074;13843;16187;7125
CoarseList;18;24697;15149;14734;6013
CoarseList;18;39031;28500;24568;6257
CoarseList;18;23826;18552;18964;4549
CoarseList;18;33676;37061;19550;4465
CoarseList;18;30358;19534;21103;5628
CoarseList;18;33530;16920;13833;5569
CoarseList;18;32614;19923;14820;5590
CoarseList;18;32199;22711;21626;5476
CoarseList;18;34539;28365;18783;6959
CoarseList;18;26030;18697;19416;5552
CoarseList;18;24131;25314;23603;3746
CoarseList;18;30143;19409;30171;6180
CoarseList;18;29212;30591;18746;4521
CoarseList;18;25701;20222;27881;5123
CoarseList;18;33326;38962;26074;6139
CoarseList;18;28051;17743;15870;6463
CoarseList;18;27348;13423;14676;7233
CoarseList;18;21321;15328;16310;4646
CoarseList;18;27440;17965;20346;5453
CoarseList;18;24274;14861;20229;5975
CoarseList;18;27300;16513;16691;6372
CoarseList;18;21638;16638;22164;5413
CoarseList;18;22905;19647;29166;5170
CoarseList;18;24834;15883;19460;5902
CoarseList;18;27469;18284;20534;6897
CoarseList;18;23537;14252;14563;5925
CoarseList;18;25004;15996;14099;6049
CoarseList;18;25123;16252;19804;6281
CoarseList;18;22123;18195;21477;5086
CoarseList;18;24016;20210;28142;5663
CoarseList;18;25106;17851;25171;6361
CoarseList;18;26528;22559;24852;6341
CoarseList;18;27345;15816;14779;6754
CoarseList;18;24049;9050;16418;6751
CoarseList;18;24657;13701;14078;6069
CoarseList;18;23045;20009;24237;5178
CoarseList;18;29064;15481;17370;6077
CoarseList;18;24804;30247;25920;4017
CoarseList;18;30715;19195;16488;5861
CoarseList;18;22565;19264;23232;5295
CoarseList;18;28432;15871;18120;6789
CoarseList (Mean);18;26428;19151;19866;5728
Experiment;Threads;Add;Remove;Contains;Population
CoarseList;21;0;0;0;0
CoarseList;21;36017;29837;31769;6686
CoarseList;21;25805;19215;17521;5689
CoarseList;21;24727;21578;22022;5887
CoarseList;21;24814;15246;17896;5940
CoarseList;21;24514;24206;22144;5232
CoarseList;21;23242;21719;24479;4709
CoarseList;21;29248;16334;20318;6870
CoarseList;21;24523;14941;16825;6497
CoarseList;21;24131;18975;22130;6153
CoarseList;21;28406;15050;16096;6994
CoarseList;21;21715;16257;17992;5223
CoarseList;21;27577;15666;20480;6947
CoarseList;21;24696;17595;16850;5495
CoarseList;21;33924;25223;34582;5021
CoarseList;21;29292;18719;24655;5573
CoarseList;21;25483;20531;19769;3545
CoarseList;21;29515;34481;35497;4552
CoarseList;21;29703;16369;21866;5509
CoarseList;21;34681;24977;25446;7030
CoarseList;21;22870;21235;34617;4624
CoarseList;21;28700;37885;24574;3340
CoarseList;21;33074;25208;39039;5939
CoarseList;21;28071;29839;32217;5391
