qua mai 22 01:13:45 -03 2019
Experiment;Threads;Add;Remove;Contains;Population
RandomLockFreeList;8;65394;65052;64987;4953
RandomLockFreeList;8;65740;66215;66479;5043
RandomLockFreeList;8;65432;65567;65588;4944
RandomLockFreeList;8;70077;69754;69787;5002
RandomLockFreeList;8;67565;67906;67844;5008
RandomLockFreeList;8;65871;65624;65573;4959
RandomLockFreeList;8;65336;65293;65412;5055
RandomLockFreeList;8;65296;65295;65660;4986
RandomLockFreeList;8;65909;66848;66107;4837
RandomLockFreeList;8;65948;65372;65240;5006
RandomLockFreeList;8;65268;65756;65299;4995
RandomLockFreeList;8;70844;70893;71142;4944
RandomLockFreeList;8;65164;64865;64979;4994
RandomLockFreeList;8;65305;65530;64914;4977
RandomLockFreeList;8;65377;65889;65920;4946
RandomLockFreeList;8;65356;65226;65387;5063
RandomLockFreeList;8;65712;65354;65247;5053
RandomLockFreeList;8;65127;64780;64927;4934
RandomLockFreeList;8;71170;70850;71302;4938
RandomLockFreeList;8;65826;65424;65261;5080
RandomLockFreeList;8;65524;65234;65209;4971
RandomLockFreeList;8;64925;64495;64609;4977
RandomLockFreeList;8;65332;65726;65068;4962
RandomLockFreeList;8;65343;65579;65749;4985
RandomLockFreeList;8;65273;64650;64986;5037
RandomLockFreeList;8;70953;70876;71405;4960
RandomLockFreeList;8;65627;66319;65743;4928
RandomLockFreeList;8;64907;64416;65151;5012
RandomLockFreeList;8;65243;65129;65533;4965
RandomLockFreeList;8;65117;65189;65451;5089
RandomLockFreeList;8;65100;64888;65371;4987
RandomLockFreeList;8;64897;66064;65653;4935
RandomLockFreeList;8;71444;71471;71762;5123
RandomLockFreeList;8;64894;65356;64997;4967
RandomLockFreeList;8;65320;65255;65314;5009
RandomLockFreeList;8;64849;64656;64682;5055
RandomLockFreeList;8;64946;64674;64680;5028
RandomLockFreeList;8;65999;65835;65262;4939
RandomLockFreeList;8;64832;64933;65024;4909
RandomLockFreeList;8;72369;72193;72082;4944
RandomLockFreeList;8;64396;64225;64638;5034
RandomLockFreeList;8;64509;64578;64668;5042
RandomLockFreeList;8;65201;65418;64765;5006
RandomLockFreeList;8;65844;66144;65870;5036
RandomLockFreeList;8;64922;64925;64849;5080
RandomLockFreeList;8;65618;65302;65971;5042
RandomLockFreeList;8;70686;71009;70443;4935
RandomLockFreeList (Mean);8;65150;65153;65164;4912
Experiment;Threads;Add;Remove;Contains;Population
RandomLockFreeList;10;0;0;0;0
RandomLockFreeList;10;65801;66357;65810;4952
RandomLockFreeList;10;65455;65501;65492;4989
RandomLockFreeList;10;65364;65321;65415;4997
RandomLockFreeList;10;64755;65064;64915;4980
RandomLockFreeList;10;65128;65084;64556;5029
RandomLockFreeList;10;65019;64666;65183;5049
RandomLockFreeList;10;64795;65441;64748;4937
RandomLockFreeList;10;65402;65712;65250;4949
RandomLockFreeList;10;71480;71537;71603;5052
RandomLockFreeList;10;64961;64307;64552;5062
RandomLockFreeList;10;65118;66038;65787;5032
RandomLockFreeList;10;64641;64341;63907;4994
RandomLockFreeList;10;65381;66278;65560;4972
RandomLockFreeList;10;65070;65391;65477;4994
RandomLockFreeList;10;65323;65542;65004;4963
