sáb mai 11 03:08:59 -03 2019
Experiment;Threads;Add;Remove;Contains;Population
RandomOptimisticList;8;65497;66146;65895;4954
RandomOptimisticList;8;65818;65747;65773;5008
RandomOptimisticList;8;66332;66576;66341;5000
RandomOptimisticList;8;66064;66712;66064;4901
RandomOptimisticList;8;66836;66827;66373;5085
RandomOptimisticList;8;65348;65486;65133;5035
RandomOptimisticList;8;66431;66040;66496;5014
RandomOptimisticList;8;65336;65366;65750;4981
RandomOptimisticList;8;65554;65265;65262;5051
RandomOptimisticList;8;66077;66655;66160;5015
RandomOptimisticList;8;72739;73604;72810;4913
RandomOptimisticList;8;65334;65490;65319;5015
RandomOptimisticList;8;65516;65465;65505;4981
RandomOptimisticList;8;66039;65956;66072;5057
RandomOptimisticList;8;65757;65877;66469;4933
RandomOptimisticList;8;65832;65381;65405;4967
RandomOptimisticList;8;65776;65399;65449;4958
RandomOptimisticList;8;65467;65852;66355;5061
RandomOptimisticList;8;65810;65615;65675;5058
RandomOptimisticList;8;65905;66290;66444;4916
RandomOptimisticList;8;66024;66042;66268;4950
RandomOptimisticList;8;67017;66670;66380;5060
RandomOptimisticList;8;71872;71229;71818;4975
RandomOptimisticList;8;66488;66361;65801;5048
RandomOptimisticList;8;66206;66099;66419;4950
RandomOptimisticList;8;66052;65972;66140;5003
RandomOptimisticList;8;66447;66802;66431;5008
RandomOptimisticList;8;65426;65186;65491;5103
RandomOptimisticList;8;66166;65819;66178;5045
RandomOptimisticList;8;66273;65870;65449;5021
RandomOptimisticList;8;65572;65264;65354;5009
RandomOptimisticList;8;66635;66744;66473;4938
RandomOptimisticList;8;65923;65982;65933;5050
RandomOptimisticList;8;65524;65297;65274;5019
RandomOptimisticList;8;65962;66286;65649;5044
RandomOptimisticList;8;72390;72384;72508;4971
RandomOptimisticList;8;66310;66880;66122;5003
RandomOptimisticList;8;66110;66037;66524;4932
RandomOptimisticList;8;66362;66277;66407;5034
RandomOptimisticList;8;65843;66111;65753;4878
RandomOptimisticList;8;65485;64991;65534;4933
RandomOptimisticList;8;66452;65967;65930;5008
RandomOptimisticList;8;65864;65810;66052;4941
RandomOptimisticList;8;66295;66657;66108;5082
RandomOptimisticList;8;65559;65525;65611;5015
RandomOptimisticList;8;65631;65691;66112;4947
RandomOptimisticList;8;65729;66242;65874;4959
RandomOptimisticList;8;70748;71335;71175;5031
RandomOptimisticList;8;67494;66961;67077;4987
RandomOptimisticList;8;66018;66005;65546;5080
RandomOptimisticList;8;65465;64797;65352;5051
RandomOptimisticList;8;65898;65955;65794;5037
RandomOptimisticList;8;65756;66104;66585;4912
RandomOptimisticList;8;66215;66590;66014;4959
RandomOptimisticList;8;66227;66868;66171;4987
RandomOptimisticList (Mean);8;65319;65343;65298;4913
Experiment;Threads;Add;Remove;Contains;Population
RandomOptimisticList;10;0;0;0;0
RandomOptimisticList;10;64622;64585;64618;5037
RandomOptimisticList;10;71890;71913;71651;4965
RandomOptimisticList;10;66611;66849;66896;4984
RandomOptimisticList;10;66443;65869;66067;5015
RandomOptimisticList;10;66275;66252;65997;5016
RandomOptimisticList;10;66628;66010;65864;5073
RandomOptimisticList;10;65671;65847;65936;5044
RandomOptimisticList;10;66385;66856;67179;4965
RandomOptimisticList;10;67093;67208;67167;5012
RandomOptimisticList;10;66442;65673;65630;5060
RandomOptimisticList;10;66714;67326;67010;4920
RandomOptimisticList;10;66052;66182;66334;5066
RandomOptimisticList;10;66064;65972;65971;5074
RandomOptimisticList;10;72992;72733;72851;4942
RandomOptimisticList;10;66670;67097;67152;4956
RandomOptimisticList;10;66983;67178;66928;4933
RandomOptimisticList;10;66754;66559;66412;5048
RandomOptimisticList;10;66447;66466;66584;5052
RandomOptimisticList;10;66305;66097;65847;4961
RandomOptimisticList;10;65795;65373;65804;5048
RandomOptimisticList;10;66132;66475;66491;4966
RandomOptimisticList;10;65897;65247;65838;4995
RandomOptimisticList;10;66399;66791;66508;4977
RandomOptimisticList;10;66599;66201;66254;5066
RandomOptimisticList;10;65830;66522;66373;4918
RandomOptimisticList;10;67017;67358;66872;4963
RandomOptimisticList;10;73411;73752;74028;4996
RandomOptimisticList;10;66316;66690;66511;5019
RandomOptimisticList;10;66276;65942;66390;4966
RandomOptimisticList;10;66397;66308;66035;4943
RandomOptimisticList;10;66703;66578;66613;5057
RandomOptimisticList;10;66110;66205;66216;5062
RandomOptimisticList;10;66063;66376;66811;4989
RandomOptimisticList;10;65981;66240;66163;4997
RandomOptimisticList;10;66496;66006;66206;4988
RandomOptimisticList;10;66506;67015;66990;5032
RandomOptimisticList;10;66194;66009;66198;5086
RandomOptimisticList;10;66140;66546;66500;5098
RandomOptimisticList;10;72841;72883;73101;5050
RandomOptimisticList;10;67017;67127;66918;4963
RandomOptimisticList;10;66142;65633;66160;4985
RandomOptimisticList;10;66419;66246;66210;4901
RandomOptimisticList;10;66809;66745;66452;4996
RandomOptimisticList;10;66044;65978;66359;4992
RandomOptimisticList;10;66611;67049;66880;5013
RandomOptimisticList;10;66327;66058;66169;4895
RandomOptimisticList;10;66355;65697;65275;5109
RandomOptimisticList;10;65971;65939;65978;5057
RandomOptimisticList;10;65785;65746;66198;5071
RandomOptimisticList;10;65795;65614;65633;4940
RandomOptimisticList;10;65709;65573;65502;5041
RandomOptimisticList;10;73082;73372;73722;5012
RandomOptimisticList;10;65939;66140;66345;4873
RandomOptimisticList;10;67199;67239;66865;5025
RandomOptimisticList;10;66510;66054;65589;4956
RandomOptimisticList;10;66373;66208;66466;4929
RandomOptimisticList;10;66302;65709;65603;5075
RandomOptimisticList;10;67644;67863;67892;5028
RandomOptimisticList;10;65940;65831;66082;4973
RandomOptimisticList (Mean);10;65768;65750;65771;4919
Experiment;Threads;Add;Remove;Contains;Population
RandomOptimisticList;12;0;0;0;0
RandomOptimisticList;12;63307;63985;64032;4983
RandomOptimisticList;12;70422;70138;69794;5027
RandomOptimisticList;12;65380;65605;65472;4979
RandomOptimisticList;12;66208;66181;66493;4997
RandomOptimisticList;12;65790;65532;65811;4972
RandomOptimisticList;12;65178;65263;65191;5007
RandomOptimisticList;12;65682;65399;65074;4990
RandomOptimisticList;12;65459;65567;65407;4999
RandomOptimisticList;12;65475;65660;65633;4950
RandomOptimisticList;12;65887;65696;65920;5059
RandomOptimisticList;12;65364;65517;65451;5064
RandomOptimisticList;12;65397;64836;65414;5068
RandomOptimisticList;12;65466;65778;65822;4980
RandomOptimisticList;12;72088;72856;72641;4921
RandomOptimisticList;12;66257;66296;66665;5023
RandomOptimisticList;12;65474;65574;65370;5046
RandomOptimisticList;12;65764;66019;65822;5081
RandomOptimisticList;12;65745;66251;66679;4945
RandomOptimisticList;12;65454;65766;66269;4922
RandomOptimisticList;12;66200;66390;65886;5001
RandomOptimisticList;12;65572;65885;65851;5005
RandomOptimisticList;12;65623;65206;65014;4975
RandomOptimisticList;12;65472;65710;66110;5043
RandomOptimisticList;12;65558;65280;65179;5021
RandomOptimisticList;12;65774;65727;65629;4960
RandomOptimisticList;12;65052;65063;65871;4932
RandomOptimisticList;12;72320;72080;72394;4987
RandomOptimisticList;12;65241;65289;65089;5010
RandomOptimisticList;12;66168;66667;66248;4962
